# queue_load_sweep_v12 -- BLIND artifact (provenance below stripped by pose.py).
# One single-server queue at FIVE loads (level 0..4, light load -> near capacity).
# tau is the queue's own clock (a lag). Columns: level, util_rel (relative offered
# load, normalized to the baseline level 0 = 1.0x), tau, C (queue-length fluctuation
# autocorrelation), chi (integrated response to a small steady load bump). No utilization
# values, no rates, no model parameters. Each load has its own settling window, so tau
# ranges differ (the heavily-loaded settings relax far more slowly).
level,util_rel,tau,C,chi
2,6,16.3665,86.203433,3.7965667
2,6,19.5143,85.491809,4.5081908
2,6,23.2675,84.650991,5.3490088
2,6,27.7426,83.659259,6.3407414
2,6,33.0784,82.491958,7.5080416
2,6,39.4405,81.121418,8.8785822
2,6,47.0261,79.517008,10.482992
2,6,56.0707,77.645439,12.354561
2,6,66.8549,75.471395,14.528605
2,6,79.7132,72.95863,17.04137
2,6,95.0446,70.071689,19.928311
2,6,113.325,66.77842,23.22158
2,6,135.121,63.05343,26.94657
2,6,161.109,58.882598,31.117402
2,6,192.095,54.26862,35.73138
2,6,229.041,49.237353,40.762647
2,6,273.093,43.844369,46.155631
2,6,325.617,38.180631,51.819369
2,6,388.244,32.375678,57.624322
2,6,462.915,26.596166,63.403834
2,6,551.948,21.037498,68.962502
2,6,658.106,15.90688,74.09312
2,6,784.68,11.397906,78.602094
2,6,935.599,7.6599018,82.340098
2,6,1115.54,4.7689693,85.231031
2,6,1330.1,2.7104677,87.289532
2,6,1585.92,1.3818774,88.618123
2,6,1890.94,0.61890418,89.381096
2,6,2254.63,0.23751067,89.762489
2,6,2688.27,0.07581311,89.924187
2,6,3205.31,0.01942767,89.980572
2,6,3821.79,0.0038314825,89.996169
2,6,4556.84,0.00055297911,89.999447
3,12.6667,0,380,0
3,12.6667,23.3962,374.34254,5.657463
3,12.6667,27.896,373.26412,6.7358759
3,12.6667,33.2613,371.98236,8.0176421
3,12.6667,39.6585,370.45982,9.5401812
3,12.6667,47.286,368.65259,11.34741
3,12.6667,56.3806,366.50929,13.490707
3,12.6667,67.2244,363.97005,16.029948
3,12.6667,80.1538,360.96542,19.034583
3,12.6667,95.5699,357.4153,22.584704
3,12.6667,113.951,353.22798,26.772019
3,12.6667,135.867,348.29938,31.70062
3,12.6667,161.999,342.51265,37.487347
3,12.6667,193.157,335.73848,44.261523
3,12.6667,230.307,327.8363,52.163701
3,12.6667,274.602,318.657,61.342998
3,12.6667,327.417,308.04755,71.952453
3,12.6667,390.39,295.85824,84.141759
3,12.6667,465.474,281.95333,98.046672
3,12.6667,554.999,266.22559,113.77441
3,12.6667,661.743,248.61541,131.38459
3,12.6667,789.017,229.13417,150.86583
3,12.6667,940.77,207.89105,172.10895
3,12.6667,1121.71,185.12067,194.87933
3,12.6667,1337.45,161.20711,218.79289
3,12.6667,1594.69,136.69731,243.30269
3,12.6667,1901.39,112.29492,267.70508
3,12.6667,2267.09,88.824994,291.17501
3,12.6667,2703.13,67.16238,312.83762
3,12.6667,3223.02,48.124491,331.87551
3,12.6667,3842.91,32.341808,347.65819
3,12.6667,4582.03,20.135648,359.86435
3,12.6667,5463.3,11.444197,368.5558
3,12.6667,6514.06,5.8345937,374.16541
3,12.6667,7766.92,2.613151,377.38685
3,12.6667,9260.75,1.0028228,378.99718
3,12.6667,11041.9,0.3200998,379.6799
3,12.6667,13165.6,0.082027942,379.91797
3,12.6667,15697.7,0.016177371,379.98382
3,12.6667,18716.9,0.0023348007,379.99767
4,32.6667,0,2450,0
4,32.6667,148.496,2413.5243,36.475748
4,32.6667,177.057,2406.5713,43.428673
4,32.6667,211.11,2398.3073,51.692693
4,32.6667,251.714,2388.4909,61.509063
4,32.6667,300.126,2376.8391,73.160934
4,32.6667,357.85,2363.0204,86.979561
4,32.6667,426.676,2346.649,103.35098
4,32.6667,508.739,2327.277,122.72297
4,32.6667,606.586,2304.3881,145.61191
4,32.6667,723.251,2277.3909,172.60907
4,32.6667,862.356,2245.6144,204.38558
4,32.6667,1028.21,2208.3053,241.69474
4,32.6667,1225.97,2164.6297,285.37035
4,32.6667,1461.77,2113.6814,336.3186
4,32.6667,1742.91,2054.4991,395.50091
4,32.6667,2078.13,1986.096,463.90397
4,32.6667,2477.82,1907.5071,542.49292
4,32.6667,2954.38,1817.857,632.14302
4,32.6667,3522.6,1716.4545,733.54551
4,32.6667,4200.11,1602.9152,847.08482
4,32.6667,5007.92,1477.3124,972.68757
4,32.6667,5971.1,1340.3502,1109.6498
4,32.6667,7119.54,1193.5411,1256.4589
4,32.6667,8488.85,1039.3616,1410.6384
4,32.6667,10121.5,881.3379,1568.6621
4,32.6667,12068.2,724.00674,1725.9933
4,32.6667,14389.3,572.68746,1877.3125
4,32.6667,17156.8,433.02061,2016.9794
4,32.6667,20456.6,310.27632,2139.7237
4,32.6667,24391.1,208.51955,2241.4804
4,32.6667,29082.3,129.82194,2320.1781
4,32.6667,34675.7,73.784955,2376.215
4,32.6667,41345,37.617775,2412.3822
4,32.6667,49296.9,16.847947,2433.1521
4,32.6667,58778.3,6.4655682,2443.5344
4,32.6667,70083.2,2.0638013,2447.9362
4,32.6667,83562.4,0.52886436,2449.4711
4,32.6667,99634.2,0.10430147,2449.8957
4,32.6667,118797,0.01505332,2449.9849
